"DISTRITO","TRIMESTRE","VALOR"
"Centro","2018 Q2",759
"Continente","2018 Q2",954
"Norte","2018 Q2",1806
"Sul","2018 Q2",800
"Centro","2013 Q1",1026
"Continente","2013 Q1",796
"Norte","2013 Q1",1185
"Sul","2013 Q1",712
"Centro","2013 Q2",1039
"Continente","2013 Q2",764
"Norte","2013 Q2",1368
"Sul","2013 Q2",906
"Centro","2013 Q3",1130
"Continente","2013 Q3",1081
"Norte","2013 Q3",1216
"Sul","2013 Q3",875
"Centro","2013 Q4",890
"Continente","2013 Q4",860
"Norte","2013 Q4",1103
"Sul","2013 Q4",626
"Centro","2014 Q1",953
"Continente","2014 Q1",872
"Norte","2014 Q1",1058
"Sul","2014 Q1",898
"Centro","2014 Q2",930
"Continente","2014 Q2",908
"Norte","2014 Q2",1077
"Sul","2014 Q2",788
"Centro","2014 Q3",1193
"Continente","2014 Q3",1110
"Norte","2014 Q3",1538
"Sul","2014 Q3",782
"Centro","2014 Q4",832
"Continente","2014 Q4",1035
"Norte","2014 Q4",1175
"Sul","2014 Q4",726
"Centro","2015 Q1",729
"Continente","2015 Q1",917
"Norte","2015 Q1",1150
"Sul","2015 Q1",544
"Centro","2015 Q2",736
"Continente","2015 Q2",851
"Norte","2015 Q2",1098
"Sul","2015 Q2",512
"Centro","2015 Q3",1026
"Continente","2015 Q3",1108
"Norte","2015 Q3",1499
"Sul","2015 Q3",723
"Centro","2015 Q4",978
"Continente","2015 Q4",881
"Norte","2015 Q4",1243
"Sul","2015 Q4",646
"Centro","2016 Q1",994
"Continente","2016 Q1",862
"Norte","2016 Q1",1078
"Sul","2016 Q1",569
"Centro","2016 Q2",1093
"Continente","2016 Q2",1302
"Norte","2016 Q2",1713
"Sul","2016 Q2",871
"Centro","2016 Q3",1252
"Continente","2016 Q3",958
"Norte","2016 Q3",1554
"Sul","2016 Q3",1006
"Centro","2016 Q4",984
"Continente","2016 Q4",885
"Norte","2016 Q4",1367
"Sul","2016 Q4",837
"Centro","2017 Q1",652
"Continente","2017 Q1",485
"Norte","2017 Q1",1013
"Sul","2017 Q1",443
"Centro","2017 Q2",1229
"Continente","2017 Q2",1433
"Norte","2017 Q2",1768
"Sul","2017 Q2",1014
"Centro","2017 Q3",1318
"Continente","2017 Q3",1470
"Norte","2017 Q3",2109
"Sul","2017 Q3",1090
"Centro","2017 Q4",1105
"Continente","2017 Q4",1235
"Norte","2017 Q4",1810
"Sul","2017 Q4",854
"Centro","2018 Q1",962
"Continente","2018 Q1",1124
"Norte","2018 Q1",1562
"Sul","2018 Q1",872
