"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Continente","CS JARDIM ATLÂNTICO",10,"2013 Q1",18
"Continente","CS NOVO CONTINENTE",100,"2013 Q1",17
"Continente","CS NOVO CONTINENTE",101,"2013 Q1",8
"Continente","CS NOVO CONTINENTE",102,"2013 Q1",12
"Continente","CS NOVO CONTINENTE",103,"2013 Q1",12
"Continente","CS JARDIM ATLÂNTICO",11,"2013 Q1",14
"Centro","CS MONTE SERRAT",120,"2013 Q1",24
"Centro","CS MONTE SERRAT",121,"2013 Q1",13
"Centro","CS MONTE SERRAT",122,"2013 Q1",25
"Centro","CS PRAINHA",130,"2013 Q1",29
"Centro","CS PRAINHA",131,"2013 Q1",31
"Centro","CS PRAINHA",132,"2013 Q1",46
"Centro","CS PANTANAL",160,"2013 Q1",29
"Centro","CS PANTANAL",161,"2013 Q1",23
"Centro","CS CÓRREGO GRANDE",170,"2013 Q1",56
"Centro","CS CÓRREGO GRANDE",171,"2013 Q1",22
"Centro","CS CÓRREGO GRANDE",172,"2013 Q1",9
"Centro","CS ITACORUBI",190,"2013 Q1",50
"Centro","CS ITACORUBI",191,"2013 Q1",44
"Centro","CS ITACORUBI",192,"2013 Q1",57
"Centro","CS ITACORUBI",193,"2013 Q1",24
"Continente","CS BALNEÁRIO",20,"2013 Q1",18
"Sul","CS CAIEIRA BARRA DO SUL",200,"2013 Q1",6
"Continente","CS BALNEÁRIO",21,"2013 Q1",18
"Sul","CS ALTO RIBEIRÃO",210,"2013 Q1",5
"Sul","CS RIBEIRÃO DA ILHA",220,"2013 Q1",36
"Sul","CS PANTANO DO SUL",230,"2013 Q1",23
"Sul","CS ARMAÇÃO",240,"2013 Q1",30
"Sul","CS ARMAÇÃO",241,"2013 Q1",34
"Sul","CS ARMAÇÃO",242,"2013 Q1",4
"Sul","CS MORRO DAS PEDRAS",250,"2013 Q1",40
"Sul","CS MORRO DAS PEDRAS",251,"2013 Q1",47
"Sul","CS TAPERA",260,"2013 Q1",25
"Sul","CS TAPERA",261,"2013 Q1",15
"Sul","CS TAPERA",262,"2013 Q1",11
"Sul","CS TAPERA",263,"2013 Q1",17
"Sul","CS CARIANOS",270,"2013 Q1",77
"Sul","CS CARIANOS",271,"2013 Q1",90
"Sul","CS CARIANOS",272,"2013 Q1",10
"Sul","CS CAMPECHE",280,"2013 Q1",12
"Sul","CS CAMPECHE",281,"2013 Q1",2
"Sul","CS RIO TAVARES",290,"2013 Q1",20
"Sul","CS RIO TAVARES",291,"2013 Q1",20
"Sul","CS RIO TAVARES",292,"2013 Q1",7
"Sul","CS RIO TAVARES",293,"2013 Q1",2
"Continente","CS SAPE",30,"2013 Q1",4
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2013 Q1",16
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2013 Q1",20
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2013 Q1",18
"Continente","CS SAPE",31,"2013 Q1",5
"Centro","CS SACO DOS LIMÕES",310,"2013 Q1",11
"Centro","CS SACO DOS LIMÕES",311,"2013 Q1",14
"Centro","CS SACO DOS LIMÕES",312,"2013 Q1",26
"Centro","CS SACO DOS LIMÕES",313,"2013 Q1",3
"Centro","CS SACO DOS LIMÕES",314,"2013 Q1",0
"Centro","CS JOÃO PAULO",320,"2013 Q1",39
"Centro","CS JOÃO PAULO",321,"2013 Q1",16
"Norte","CS SACO GRANDE",330,"2013 Q1",54
"Norte","CS SACO GRANDE",331,"2013 Q1",32
"Norte","CS SACO GRANDE",332,"2013 Q1",72
